,RSS,_k_Dd,_k_Dp,_k_Gd,_k_Gp,_k_Kd,_k_KpG,_k_KpN,_k_Nd,_k_Np
0,3.10155e-06,1540.49,0.00768497,0.5025390000000001,3.42039e-06,0.228954,0.00020542,124.338,158.714,6.12777e-05
1,3.10155e-06,0.00530568,0.00398163,1.19524e-06,273.248,316158.0,1.29882e-06,5.1822900000000005e-06,1.24876e-06,472.905
2,3.10155e-06,16.1809,1343.52,0.00328557,6.84825,741.868,2.55574e-05,901.873,0.0006233090000000001,5.99603e-05
3,3.10155e-06,0.000288774,8.478979999999999e-05,5324.26,0.000101381,141.344,208.654,73.2917,0.0207857,1.90326e-06
4,3.10155e-06,1.3436700000000002e-06,0.183417,99652.4,0.0041827,0.00133271,166179.0,5.03029,4235.01,0.0675221
5,3.10155e-06,138.361,13.5214,0.122055,1.17403e-06,1.23551,3.23727e-05,0.6047939999999999,152.756,6.43217e-06
6,3.10155e-06,0.0568241,0.000616068,0.07067360000000003,0.00432576,5.86912e-05,0.000324381,0.8347870000000001,0.0005425769999999999,0.340989
7,3.10155e-06,346.065,4.42004e-05,0.898623,269.026,137.429,104985.0,0.0133358,4.00026,2489.17
8,3.10155e-06,45.4693,245222.0,3.07216,0.532144,4.08361,0.0006297890000000001,0.8286690000000001,0.64399,1361.52
9,3.10155e-06,0.049012,88.5017,85.8794,7170.84,0.000259927,0.00286118,179030.0,3.71126e-05,0.163829
10,3.10155e-06,0.029001,27479.1,1.00759e-05,0.273204,5.12386e-06,30.0714,570360.0,441.315,0.00166185
11,3.10155e-06,0.00637174,0.00419665,184.816,1.56521e-05,902816.0,1.08147e-06,2292.23,2.63794e-05,1.45438e-06
12,3.10155e-06,14.5838,5.14467,1.07092e-05,5.24509,413.423,5893.38,104899.0,0.00110877,0.00191511
13,3.10155e-06,0.440157,0.0863847,414.468,113.935,690.076,0.214467,7.3079800000000015,4256.71,0.00187901
14,3.10155e-06,1.35479e-06,5.35128,1.15059,0.000494245,0.000357365,0.0076535,36.177,0.0501575,2.63622
15,3.10155e-06,72597.9,244890.0,146402.0,9.41364e-05,3.11409,2.0102900000000004,13.5575,28.7516,2.44985e-06
16,3.10155e-06,0.0326115,5.64516e-05,0.0537508,0.000175881,230930.0,143.502,2.39013,0.0004958790000000001,936.5
17,3.10155e-06,136216.0,129385.0,1.54684e-05,0.00452593,0.00045989,9.21522e-05,0.000248741,12.3839,753291.0
18,3.10155e-06,233150.0,3.73786e-05,0.0398675,111.889,51451.6,104032.0,1.09653,1.47894,0.00291466
19,3.10155e-06,43.6019,0.000686581,6863.09,1.50331e-06,4369.73,0.025237400000000004,7126.42,5187.13,0.122249
20,3.10155e-06,28076.6,92.1648,1.98178e-05,65.4003,80.9582,198600.0,10971.9,2.05609e-06,1.64353e-05
21,3.10155e-06,1.48356,132.465,0.00219804,74961.2,0.00116555,0.000150983,804845.0,177.43099999999995,1582.33
22,3.10155e-06,1.75595e-06,4.89234,20123.2,20.89,0.00285925,247517.0,6.95109e-05,33.0922,51.7565
23,3.10155e-06,0.000534284,303.492,3122.67,19.8909,0.7150310000000001,0.0127783,31151.8,0.00085223,0.760232
24,3.10155e-06,4.20209e-06,14.9661,2.83138e-05,7329.76,0.180016,64.8089,2.087e-06,4.82995,912.843
25,3.10155e-06,0.220027,191571.0,283544.0,0.00359181,0.00314199,34058.3,2575.94,0.00345515,19101.0
26,3.10155e-06,0.0137455,5.0637400000000014e-06,0.00491129,0.08519700000000001,0.00456607,10946.7,0.000277852,0.012225,433.242
27,3.10155e-06,473589.0,457.047,203.771,219324.0,257207.0,0.00130369,27.1366,896696.0,0.462374
28,3.10155e-06,1.88388,0.0188547,0.000289015,2437.05,6.43462e-05,4.67172,0.30227,0.0001588,18.9562
29,3.10155e-06,190442.0,16.5577,4.6099e-06,173017.0,2462.64,1.49055e-06,3.33617e-05,0.000704915,1.94808e-06
30,3.10155e-06,2.07061e-06,0.162369,15657.7,0.000147335,11.9997,0.00113945,7.430549999999999e-06,46.5633,1.86105e-06
31,3.10155e-06,2.42042e-05,0.00484478,1535.79,49.7652,0.032488,8.27081,6.709810000000001e-06,0.000905528,0.645586
32,3.10155e-06,66.9847,0.00511181,4.38396e-05,19.0656,2.13999,1.72516e-06,491.177,653581.0,19367.7
33,3.10155e-06,377950.0,19.8916,0.0978018,156.105,210.375,0.0134863,49019.7,4.68845,0.00012786200000000002
34,3.10155e-06,1.47497e-06,5.529800000000001e-05,0.361768,316458.0,150.129,0.00968696,1.26349e-05,0.255804,0.000108495
35,3.10155e-06,0.00121383,2.26852e-05,0.0227183,35270.9,0.000195696,207974.0,0.251813,2140.22,3433.48
36,3.10155e-06,104.403,1.3535700000000002,0.0386523,1312.94,1.53986,617.325,763.8789999999998,4.49631,356.921
37,3.10155e-06,0.042530300000000014,0.0196165,5.47977e-06,1.07345,45296.8,18.3496,34665.3,0.00317452,204.213
38,3.10155e-06,0.00187436,130.649,8.963879999999999e-05,0.00560824,0.0120485,0.495969,0.00122422,6090.56,39.2881
39,3.10155e-06,6.24879e-05,0.00103836,0.0181484,0.14096199999999998,33.1693,0.153677,0.000102835,193034.0,4.29816e-05
40,3.10155e-06,7.86785,38.3086,8880.08,0.28823200000000004,17042.4,119.995,0.01845,0.0118439,0.0240683
41,3.10155e-06,0.186008,4675.89,16474.3,3.06586e-05,0.000314847,9.10112e-06,1908.76,50.0788,469901.0
42,3.10155e-06,1.97006e-06,13034.3,6.27194,0.023416,8.52062,7.783180000000001e-05,127421.0,150.35299999999995,0.00189019
43,3.10155e-06,1.71224e-05,0.448664,359.842,0.000808925,0.00134088,6.7775600000000016e-06,0.00672236,4.8639499999999986e-06,5253.99
44,3.10155e-06,1029.95,0.016117700000000002,12.2948,710.9019999999998,4.98554e-05,9.69244e-06,621.409,873400.0,53850.9
45,3.10155e-06,0.029813,388285.0,63274.2,287428.0,0.274414,10109.7,125066.0,0.397257,8.90457
46,3.10155e-06,184892.0,0.00224465,80718.0,0.981441,0.000178125,119.308,2.35181e-06,461575.0,0.00517655
47,3.10155e-06,0.000659235,0.397698,0.699919,11946.8,0.00134041,847366.0,14.0676,156127.0,0.000279861
48,3.10155e-06,0.00471142,0.0721196,0.000943401,0.00195743,0.000920487,3.3337800000000004,1352.09,5.9308e-05,0.189913
49,3.10155e-06,21.6651,0.13761600000000002,0.0159928,7.4148,70.3064,0.00264364,0.561683,0.51522,1.52605e-06
50,3.10155e-06,2.70371,3276.94,229088.0,3.77318e-06,0.104513,123136.0,25845.9,3.72059e-06,0.042602
