,time,Np,Gp,Kp,Dp,S_indep,I1_indep,I2_indep
0,0.0,0.0,0.0,0.0,0.0,1,1,0
1,15.0,38.84009765865817,0.011585916816055659,0.06509247644337612,0.0006297688980263312,1,1,0
2,30.0,47.471496836333216,0.020089864960737402,0.3349828574414078,0.0033247846936473287,1,1,0
3,45.0,49.32682185758517,0.02341986957678033,0.725212064883295,0.007299915502252075,1,1,0
4,60.0,49.656849591579025,0.024453862293041462,1.1494991054086212,0.011701634754701136,1,1,0
5,75.0,49.64394778621381,0.0247166978460672,1.5750290858515592,0.01619540796706444,1,1,0
6,90.0,49.55497285690236,0.024749142786836792,1.9920629613221807,0.02067667985918475,1,1,0
7,105.0,49.45020570444354,0.024717458141963255,2.3981420577795918,0.02511512239834293,1,1,0
8,120.0,49.34326704141007,0.024669112870300575,2.7928672073652017,0.029501962248379462,1,1,0
