Time	S	E	I	P	ES	EI	k_es	k_ei	k_res	k_rei	k_cat	k_Igen	k_Pinh	k_Ideg	k_Pdeg	k_Sdeg	k_Sinp	ProS
38	0.0991225	0.0985418	9.05908	0.010236799999999999	0.00889038	0.892568	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
39	0.0991227	0.0984279	9.070730000000001	0.0101081	0.0088792	0.8926930000000001	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
40	0.09912280000000001	0.0983238	9.081380000000001	0.00999065	0.00886898	0.892807	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
41	0.09912289999999999	0.0982288	9.09113	0.00988345	0.00885966	0.892912	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
42	0.09912289999999999	0.09814210000000001	9.10005	0.00978561	0.00885115	0.893007	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
43	0.099123	0.0980629	9.1082	0.00969631	0.00884338	0.893094	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
44	0.0991231	0.09799060000000001	9.11566	0.00961479	0.00883628	0.893173	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
45	0.0991232	0.09792469999999999	9.12247	0.00954039	0.00882981	0.8932450000000001	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
46	12.492	0.0462033	9.05007	0.021379699999999998	0.27860300000000005	0.675193	1	1	1	1	0.1	10	10	1	0.1	1	1	20.0
47	17.0869	0.0403023	7.9705699999999995	0.056837	0.486245	0.47345299999999996	1	1	1	1	0.1	10	10	1	0.1	1	1	20.0
48	18.8205	0.0403105	6.4648699999999995	0.103958	0.605645	0.354044	1	1	1	1	0.1	10	10	1	0.1	1	1	20.0
49	19.4787	0.0416352	5.1395800000000005	0.155594	0.6811560000000001	0.27720900000000004	1	1	1	1	0.1	10	10	1	0.1	1	1	20.0
50	19.7311	0.043102999999999995	4.138	0.208269	0.733273	0.223624	1	1	1	1	0.1	10	10	1	0.1	1	1	20.0
51	19.8302	0.0443744	3.41675	0.260142	0.770854	0.184771	1	1	1	1	0.1	10	10	1	0.1	1	1	20.0
52	19.8707	0.04539	2.89995	0.310143	0.798447	0.15616300000000002	1	1	1	1	0.1	10	10	1	0.1	1	1	20.0
53	19.8885	0.0461794	2.52447	0.357649	0.818918	0.134903	1	1	1	1	0.1	10	10	1	0.1	1	1	20.0
54	19.8972	0.0467913	2.24579	0.40232199999999996	0.8342719999999999	0.11893599999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	20.0
55	19.9018	0.047269599999999995	2.03415	0.444017	0.8459479999999999	0.10678199999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	20.0
56	7.38525	0.09865030000000001	1.8488099999999998	0.47953500000000004	0.772358	0.128992	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
57	2.83714	0.176707	1.6956799999999999	0.500397	0.618065	0.205227	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
58	1.1892200000000002	0.25637600000000005	1.60656	0.5027699999999999	0.4363	0.307323	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
59	0.574364	0.312116	1.59059	0.488612	0.281785	0.406099	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
60	0.325432	0.338692	1.63629	0.46341899999999997	0.175699	0.485609	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
61	0.213452	0.344558	1.7243	0.432641	0.11109000000000001	0.5443520000000001	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
62	0.1586	0.33905100000000005	1.8389099999999998	0.400077	0.07392889999999999	0.58702	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
63	0.130342	0.328164	1.97071	0.36793200000000004	0.0529832	0.618853	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
64	0.11543900000000001	0.31506100000000004	2.1148	0.337335	0.0411276	0.6438119999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
65	0.107521	0.30129	2.26876	0.308785	0.0342412	0.664469	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
66	0.103323	0.28759	2.43133	0.282441	0.0300404	0.682369	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
67	0.101116	0.274311	2.60173	0.25828	0.0272885	0.6984	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
68	0.09997260000000001	0.261619	2.7793400000000004	0.23619899999999996	0.025325	0.713056	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
69	0.0993932	0.249588	2.96358	0.21605500000000002	0.0238012	0.726611	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
