Time,E,EI,ES,I,P,S
86,0.134017,0.853627,0.012356,6.39601,0.0520225,0.0990727
87,0.130919,0.8570270000000001,0.0120546,6.57112,0.0482329,0.0990782
88,0.128073,0.8601489999999999,0.0117776,6.73942,0.0447765,0.0990831
89,0.125461,0.863016,0.0115231,6.9006300000000005,0.0416237,0.0990874
90,0.123064,0.8656459999999999,0.0112895,7.05456,0.0387478,0.0990912
91,0.12086600000000003,0.868059,0.011075,7.2011,0.0361242,0.0990946
92,0.118851,0.8702709999999999,0.0108783,7.3402,0.033730800000000005,0.0990976
93,0.117004,0.8722979999999999,0.0106979,7.471889999999998,0.0315472,0.0991003
94,0.115311,0.8741559999999999,0.0105326,7.596239999999999,0.029555,0.0991027
95,0.113762,0.875857,0.0103811,7.7133699999999985,0.0277374,0.0991048
96,0.112343,0.877415,0.0102424,7.82344,0.0260789,0.0991067
97,0.111044,0.878841,0.0101153,7.926660000000001,0.0245656,0.0991084
98,0.109855,0.8801459999999999,0.00999903,8.02327,0.023184700000000003,0.0991099
99,0.108767,0.88134,0.00989258,8.1135,0.0219247,0.0991113
100,0.107772,0.882433,0.00979518,8.19764,0.020775,0.0991125
