TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Parameters	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
(	0.616	0.3704	1.056	1e-06	1.056	0.164807	1.056	0.1208	0.636007	1.076	1.064	0.1216	0.3	0.796	0.3024	0.376	)	1.19865
(	0.6288	0.3768	1.0688	1e-06	1.0688	0.167207	1.0688	0.1184	0.648807	1.0888	1.0768	0.1192	0.3128	0.7848	0.308	0.3888	)	1.18242
(	0.6424	0.3824	1.0824	1e-06	1.0824	0.169607	1.0824	0.116	0.662407	1.1024	1.0904	0.1168	0.3264	0.7744	0.3144	0.4024	)	1.16897
(	0.6568	0.3872	1.0968	1e-06	1.0968	0.172007	1.0968	0.1128	0.676807	1.1168	1.1048	0.1136	0.3408	0.7648	0.3216	0.4168	)	1.15832
(	0.672	0.3912	1.112	1e-06	1.112	0.175207	1.112	0.1096	0.692007	1.1304	1.12	0.1104	0.356	0.756	0.3296	0.432	)	1.15078
(	0.688	0.3944	1.128	1e-06	1.128	0.177607	1.128	0.1064	0.708007	1.1432	1.136	0.108	0.372	0.748	0.3384	0.448	)	1.1464
(	0.7032	0.3968	1.1448	1e-06	1.1448	0.179207	1.1448	0.104	0.724807	1.1552	1.1528	0.1056	0.3872	0.7408	0.348	0.4648	)	1.1444
(	0.70304	0.39664	1.14496	1e-06	1.14496	0.179367	1.14496	0.10416	0.724967	1.15504	1.15296	0.10576	0.3872	0.74096	0.34816	0.46496	)	1.14398
(	0.70272	0.39632	1.14528	1e-06	1.14528	0.179527	1.14528	0.10448	0.725287	1.15472	1.15328	0.10608	0.38736	0.74128	0.34848	0.46528	)	1.14318
(	0.70224	0.39584	1.14576	1e-06	1.14576	0.179687	1.14576	0.10496	0.725767	1.1544	1.15376	0.10656	0.38768	0.74176	0.34896	0.46576	)	1.142
(	0.7016	0.3952	1.1464	1e-06	1.1464	0.179847	1.1464	0.1056	0.726407	1.15424	1.1544	0.10704	0.388	0.7424	0.3496	0.4664	)	1.1405
(	0.7008	0.3944	1.1472	1e-06	1.1472	0.180007	1.1472	0.10608	0.727207	1.15424	1.1552	0.10752	0.38832	0.7432	0.3504	0.4672	)	1.13868
(	0.69984	0.39344	1.14816	1e-06	1.14816	0.180167	1.14816	0.1064	0.728167	1.1544	1.15584	0.10784	0.38848	0.74416	0.35136	0.46816	)	1.13655
(	0.69872	0.39232	1.14928	1e-06	1.14928	0.180327	1.14928	0.10656	0.729287	1.15472	1.15648	0.10816	0.3888	0.74528	0.35248	0.46928	)	1.1341
(	0.69744	0.39104	1.15056	1e-06	1.15056	0.180327	1.15056	0.10656	0.730567	1.1552	1.15696	0.10832	0.38896	0.74656	0.35376	0.47056	)	1.13134
(	0.696	0.3896	1.152	1e-06	1.152	0.180487	1.152	0.1064	0.732007	1.15552	1.1576	0.10832	0.38928	0.748	0.3552	0.472	)	1.1283
(	0.6944	0.388	1.1536	1e-06	1.1536	0.180647	1.1536	0.10608	0.733607	1.15568	1.15824	0.10832	0.3896	0.7496	0.3568	0.4736	)	1.12499
(	0.69264	0.38624	1.15536	1e-06	1.15536	0.180807	1.15536	0.1056	0.735367	1.156	1.15872	0.10816	0.39008	0.75136	0.35856	0.47536	)	1.12147
(	0.69072	0.38432	1.15728	1e-06	1.15728	0.180967	1.15728	0.10496	0.737287	1.15616	1.15904	0.108	0.39056	0.75328	0.36048	0.47728	)	1.11777
(	0.68864	0.38224	1.15936	1e-06	1.15936	0.181127	1.15936	0.10448	0.739367	1.15616	1.1592	0.10784	0.39088	0.75536	0.36256	0.47936	)	1.11394
(	0.6864	0.38	1.1616	1e-06	1.1616	0.181287	1.1616	0.10416	0.741607	1.156	1.15952	0.10784	0.3912	0.7576	0.3648	0.4816	)	1.11
(	0.684	0.3776	1.164	1e-06	1.164	0.181447	1.164	0.104	0.744007	1.15568	1.16	0.108	0.39136	0.76	0.3672	0.48368	)	1.10597
(	0.68144	0.37504	1.16656	1e-06	1.16656	0.181607	1.16656	0.104	0.746567	1.1552	1.16032	0.10832	0.39168	0.76256	0.36976	0.4856	)	1.10191
(	0.67872	0.37232	1.16928	1e-06	1.16928	0.181927	1.16928	0.10416	0.749287	1.15456	1.16048	0.1088	0.39216	0.76528	0.37248	0.48736	)	1.09784
(	0.67584	0.36944	1.17216	1e-06	1.17216	0.182247	1.17216	0.10448	0.752167	1.15376	1.16048	0.10928	0.39264	0.76816	0.37536	0.48896	)	1.09383
(	0.6728	0.3664	1.1752	1e-06	1.1752	0.182567	1.1752	0.10464	0.755207	1.15312	1.16032	0.10976	0.39328	0.7712	0.3784	0.4904	)	1.08994
(	0.6696	0.3632	1.1784	1e-06	1.1784	0.182887	1.1784	0.10464	0.758407	1.15264	1.16	0.11008	0.39376	0.7744	0.3816	0.49168	)	1.08619
(	0.66624	0.35984	1.18176	1e-06	1.18176	0.183207	1.18176	0.10448	0.761767	1.152	1.15952	0.1104	0.39424	0.77776	0.38496	0.4928	)	1.08264
(	0.66272	0.35632	1.18528	1e-06	1.18528	0.183367	1.18528	0.10432	0.765287	1.1512	1.15888	0.11056	0.39456	0.78128	0.38848	0.49376	)	1.07937
(	0.65904	0.35264	1.18896	1e-06	1.18896	0.183687	1.18896	0.104	0.768967	1.15024	1.15808	0.11072	0.39472	0.78496	0.39216	0.49456	)	1.07642
(	0.6552	0.3488	1.1928	1e-06	1.1928	0.184007	1.1928	0.10384	0.772807	1.14928	1.15712	0.11104	0.39504	0.7888	0.396	0.4952	)	1.07388
(	0.6512	0.3448	1.1968	1e-06	1.1968	0.184327	1.1968	0.10384	0.776807	1.14816	1.156	0.11136	0.3952	0.7928	0.4	0.49568	)	1.0718
(	0.64704	0.34064	1.20096	1e-06	1.20096	0.184807	1.20096	0.10384	0.780967	1.14688	1.15472	0.11184	0.39552	0.79696	0.40416	0.496	)	1.07025
(	0.64272	0.33632	1.20528	1e-06	1.20528	0.185127	1.20528	0.104	0.785287	1.14544	1.15328	0.11248	0.39584	0.80128	0.40848	0.49616	)	1.06931
(	0.63824	0.33216	1.20976	1e-06	1.20976	0.185447	1.20976	0.10432	0.789767	1.14384	1.15168	0.11312	0.396	0.80576	0.41296	0.49616	)	1.06906
(	0.638272	0.332192	1.20979	1e-06	1.20979	0.185479	1.20979	0.104352	0.789799	1.14384	1.15165	0.11312	0.396	0.805792	0.412992	0.496128	)	1.06902
(	0.638336	0.332256	1.20986	1e-06	1.20986	0.185511	1.20986	0.104416	0.789863	1.14384	1.15158	0.113152	0.396032	0.805856	0.413056	0.496064	)	1.06894
(	0.638432	0.332352	1.20995	1e-06	1.20995	0.185511	1.20995	0.10448	0.789959	1.14381	1.15149	0.113152	0.396096	0.805952	0.413152	0.495968	)	1.06882
(	0.63856	0.33248	1.21008	1e-06	1.21008	0.185479	1.21008	0.104512	0.790087	1.14374	1.15136	0.113152	0.396192	0.80608	0.41328	0.49584	)	1.06865
(	0.63872	0.33264	1.21024	1e-06	1.21024	0.185415	1.21024	0.104544	0.790247	1.14365	1.1512	0.11312	0.39632	0.80624	0.41344	0.49568	)	1.06846
(	0.638912	0.332832	1.21043	1e-06	1.21043	0.185383	1.21043	0.104544	0.790439	1.14358	1.15101	0.113056	0.39648	0.806432	0.413632	0.495488	)	1.06822
(	0.639136	0.333024	1.21066	1e-06	1.21066	0.185383	1.21066	0.104512	0.790663	1.14349	1.15078	0.11296	0.396672	0.806656	0.413856	0.495264	)	1.06794
(	0.639392	0.333184	1.21091	1e-06	1.21091	0.185351	1.21091	0.104512	0.790919	1.14339	1.15053	0.112896	0.396896	0.806912	0.414112	0.495008	)	1.06763
(	0.63968	0.333312	1.2112	1e-06	1.2112	0.185287	1.2112	0.104512	0.791207	1.1433	1.15024	0.112832	0.397152	0.8072	0.4144	0.49472	)	1.06729
(	0.64	0.333408	1.21152	1e-06	1.21152	0.185255	1.21152	0.104544	0.791527	1.1432	1.14992	0.112768	0.39744	0.80752	0.41472	0.4944	)	1.06691
(	0.640352	0.333472	1.21187	1e-06	1.21187	0.185255	1.21187	0.104576	0.791879	1.14314	1.14957	0.112704	0.39776	0.807872	0.415072	0.494048	)	1.06649
(	0.640736	0.333504	1.21226	1e-06	1.21226	0.185287	1.21226	0.104608	0.792263	1.1431	1.14918	0.11264	0.398112	0.808256	0.415392	0.493664	)	1.06604
(	0.641152	0.333504	1.21267	1e-06	1.21267	0.185319	1.21267	0.104608	0.792679	1.1431	1.14877	0.112576	0.398496	0.808672	0.41568	0.493248	)	1.06555
(	0.6416	0.333472	1.21312	1e-06	1.21312	0.185351	1.21312	0.10464	0.793127	1.1431	1.14832	0.112544	0.398912	0.80912	0.415936	0.4928	)	1.06503
(	0.64208	0.333408	1.2136	1e-06	1.2136	0.185415	1.2136	0.104704	0.793607	1.1431	1.14784	0.112512	0.39936	0.8096	0.41616	0.492352	)	1.06447
(	0.642592	0.333312	1.21411	1e-06	1.21411	0.185511	1.21411	0.104768	0.794119	1.1431	1.14733	0.11248	0.39984	0.810112	0.416352	0.491936	)	1.06388
(	0.643136	0.333184	1.21466	1e-06	1.21466	0.185639	1.21466	0.1048	0.794663	1.14307	1.14678	0.112448	0.400352	0.810656	0.416512	0.491552	)	1.06326
(	0.643712	0.333024	1.21523	1e-06	1.21523	0.185735	1.21523	0.104832	0.795239	1.14301	1.14624	0.112416	0.400896	0.811232	0.416672	0.4912	)	1.0626
(	0.64432	0.332832	1.21584	1e-06	1.21584	0.185831	1.21584	0.104832	0.795847	1.14291	1.1457	0.112384	0.401472	0.81184	0.416864	0.49088	)	1.0619
(	0.64496	0.332608	1.21648	1e-06	1.21648	0.185927	1.21648	0.104864	0.796487	1.14278	1.14518	0.112352	0.40208	0.81248	0.417088	0.490592	)	1.06118
(	0.645632	0.332352	1.21715	1e-06	1.21715	0.186055	1.21715	0.104928	0.797159	1.14262	1.1447	0.11232	0.40272	0.813152	0.417312	0.490336	)	1.06042
(	0.646336	0.332064	1.21786	1e-06	1.21786	0.186215	1.21786	0.10496	0.797863	1.14243	1.14426	0.112288	0.403392	0.813856	0.417568	0.490112	)	1.05963
(	0.647072	0.331744	1.21859	1e-06	1.21859	0.186375	1.21859	0.104992	0.798599	1.14221	1.14384	0.112224	0.404096	0.814592	0.417856	0.48992	)	1.0588
(	0.64784	0.331392	1.21936	1e-06	1.21936	0.186535	1.21936	0.104992	0.799367	1.14195	1.14342	0.11216	0.4048	0.81536	0.418176	0.48976	)	1.05794
(	0.64864	0.331008	1.22016	1e-06	1.22016	0.186663	1.22016	0.105024	0.800167	1.14166	1.14304	0.112096	0.405472	0.81616	0.418528	0.489632	)	1.05705
(	0.649472	0.330592	1.22099	1e-06	1.22099	0.186759	1.22099	0.105024	0.800999	1.14134	1.14269	0.112032	0.406112	0.816992	0.418912	0.489536	)	1.05612
(	0.650336	0.330144	1.22186	1e-06	1.22186	0.186855	1.22186	0.105024	0.801863	1.14099	1.14234	0.111968	0.40672	0.817856	0.419328	0.489472	)	1.05517
(	0.651232	0.329664	1.22275	1e-06	1.22275	0.186951	1.22275	0.105056	0.802759	1.14061	1.14198	0.111904	0.407328	0.818752	0.419776	0.48944	)	1.05418
(	0.65216	0.329152	1.22368	1e-06	1.22368	0.187047	1.22368	0.105088	0.803687	1.14019	1.1416	0.11184	0.407904	0.81968	0.420256	0.48944	)	1.05315
(	0.65312	0.328608	1.22464	1e-06	1.22464	0.187111	1.22464	0.10512	0.804647	1.13981	1.14118	0.111776	0.408512	0.82064	0.420736	0.489472	)	1.0521
(	0.654112	0.328032	1.22563	1e-06	1.22563	0.187207	1.22563	0.10512	0.805639	1.13946	1.14074	0.111712	0.409088	0.821632	0.421216	0.489536	)	1.05101
(	0.655136	0.327424	1.22666	1e-06	1.22666	0.187303	1.22666	0.105152	0.806663	1.13914	1.14026	0.111648	0.409632	0.822656	0.421728	0.489632	)	1.04989
(	0.656192	0.326784	1.22771	1e-06	1.22771	0.187431	1.22771	0.105184	0.807719	1.13885	1.13974	0.111584	0.410176	0.823712	0.422208	0.48976	)	1.04874
(	0.65728	0.326112	1.2288	1e-06	1.2288	0.187559	1.2288	0.105184	0.808807	1.13859	1.1392	0.11152	0.41072	0.8248	0.422656	0.48992	)	1.04756
(	0.6584	0.325408	1.22992	1e-06	1.22992	0.187655	1.22992	0.105184	0.809927	1.13837	1.13862	0.111456	0.411296	0.82592	0.423072	0.490112	)	1.04634
(	0.659552	0.324672	1.23107	1e-06	1.23107	0.187783	1.23107	0.105184	0.811079	1.13818	1.13802	0.111392	0.41184	0.827072	0.423456	0.490336	)	1.0451
(	0.660736	0.323904	1.23226	1e-06	1.23226	0.187943	1.23226	0.105184	0.812263	1.13798	1.13744	0.11136	0.412352	0.828256	0.423808	0.490592	)	1.04382
(	0.661952	0.323104	1.23347	1e-06	1.23347	0.188071	1.23347	0.105216	0.813479	1.13782	1.1369	0.111328	0.412832	0.829472	0.424128	0.49088	)	1.04251
(	0.6632	0.322272	1.23472	1e-06	1.23472	0.188231	1.23472	0.105248	0.814727	1.1377	1.13638	0.111296	0.41328	0.83072	0.424416	0.4912	)	1.04117
(	0.66448	0.321408	1.236	1e-06	1.236	0.188391	1.236	0.10528	0.816007	1.13757	1.1359	0.111264	0.413696	0.832	0.424672	0.491552	)	1.03979
(	0.665792	0.320512	1.23731	1e-06	1.23731	0.188583	1.23731	0.10528	0.817319	1.13744	1.13546	0.1112	0.41408	0.833312	0.424896	0.491936	)	1.03839
(	0.667136	0.319584	1.23866	1e-06	1.23866	0.188743	1.23866	0.105248	0.818663	1.13731	1.13504	0.111136	0.414432	0.834656	0.425088	0.492352	)	1.03695
(	0.668512	0.318624	1.24003	1e-06	1.24003	0.188903	1.24003	0.105248	0.820039	1.13715	1.13466	0.111104	0.414752	0.836032	0.425248	0.4928	)	1.03549
(	0.66992	0.317632	1.24144	1e-06	1.24144	0.189063	1.24144	0.10528	0.821447	1.13696	1.1343	0.11104	0.41504	0.83744	0.425376	0.49328	)	1.03399
(	0.67136	0.316608	1.24288	1e-06	1.24288	0.189255	1.24288	0.10528	0.822887	1.13677	1.13398	0.111008	0.415296	0.83888	0.425472	0.493792	)	1.03246
(	0.672832	0.315552	1.24435	1e-06	1.24435	0.189415	1.24435	0.10528	0.824359	1.13658	1.1337	0.110944	0.41552	0.840352	0.425536	0.494336	)	1.0309
(	0.674336	0.314464	1.24586	1e-06	1.24586	0.189607	1.24586	0.105248	0.825863	1.13635	1.13344	0.11088	0.415712	0.841856	0.425568	0.494912	)	1.02931
