time,pN,pG,pK,pD
0.0,0.0,0.0,0.0,0.0
15.0,38.84009765865817,0.011585916816055659,0.06509247644337612,0.0006297688980263311
30.0,47.47149683633322,0.020089864960737405,0.3349828574414078,0.003324784693647329
45.0,49.32682185758517,0.02341986957678033,0.725212064883295,0.007299915502252075
60.0,49.65684959157903,0.024453862293041462,1.1494991054086212,0.011701634754701136
75.0,49.64394778621381,0.024716697846067205,1.5750290858515592,0.01619540796706444
90.0,49.55497285690236,0.02474914278683679,1.9920629613221812,0.02067667985918475
105.0,49.45020570444354,0.024717458141963255,2.3981420577795913,0.02511512239834293
120.0,49.34326704141007,0.024669112870300578,2.792867207365202,0.029501962248379462
